"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Параметризованный тест. Проверяем, что после перетаскивания булки счетчик = 2, ингредиента = 1","1562","Проверка увеличения каунтера ингредиента при добавлении ингредиента в конструктор","tests","2026-04-17","passed","2026-04-17","TestConstructorPage","test_constructor_page","",""
"Проверяем соответствие урла страницы, открывающейся по клику на кнопку Конструктор, заданному урлу","1021","Проверка перехода на страницу конструктора по кнопке Конструктор","tests","2026-04-17","passed","2026-04-17","TestLoginPage","test_login_page","",""
"Проверяем соответствие формы, открывающейся по клику на кнопку Восстановить, заданному значению","1702","Проверка перехода к форме ввода пароля и кода подтверждения по кнопке Восстановить","tests","2026-04-17","passed","2026-04-17","TestLoginPage","test_forgot_password_page","",""
"Проверяем соответствие урла страницы, открывающейся по клику на кнопку Личный Кабинет, заданному урлу","1295","Проверка перехода на страницу личного кабинета по кнопке Личный Кабинет","tests","2026-04-17","passed","2026-04-17","TestConstructorPage","test_constructor_page","",""
"Проверяем соответствие формы, открывающейся по клику на кнопку Восстановить, заданному значению","1527","Проверка перехода к форме ввода пароля и кода подтверждения по кнопке Восстановить","tests","2026-04-17","passed","2026-04-17","TestLoginPage","test_forgot_password_page","",""
"Параметризованный тест. Проверяем наличие/отсутствие подсветки поля ввода пароля по клику на значок показать/скрыть пароль","1890","Проверка подсвечивания поля ввода пароля в форме ввода пароля при его восстановлении","tests","2026-04-17","passed","2026-04-17","TestLoginPage","test_forgot_password_page","",""
"Проверяем увеличения счетчика Выполнено за все время и за сегодня при создании нового заказа","6522","Проверка увеличения счетчика при создании нового заказа","tests","2026-04-17","passed","2026-04-17","TestOrderListPage","test_order_list_page","",""
"Параметризованный тест. Проверяем наличие/отсутствие подсветки поля ввода пароля по клику на значок показать/скрыть пароль","1828","Проверка подсвечивания поля ввода пароля в форме ввода пароля при его восстановлении","tests","2026-04-17","passed","2026-04-17","TestLoginPage","test_forgot_password_page","",""
"Проверяем соответствие урла страницы, открывающейся по клику на кнопку Восстановить пароль, заданному урлу","714","Проверка перехода на страницу восстановления пароля по кнопке Восстановить пароль","tests","2026-04-17","passed","2026-04-17","TestLoginPage","test_login_page","",""
"Проверяем увеличения счетчика Выполнено за все время и за сегодня при создании нового заказа","7116","Проверка увеличения счетчика при создании нового заказа","tests","2026-04-17","passed","2026-04-17","TestOrderListPage","test_order_list_page","",""
"Проверяем успешное создание заказа для авторизованного пользователя","4359","Проверка создания заказа авторизованным пользователем","tests","2026-04-17","passed","2026-04-17","TestConstructorPage","test_constructor_page","",""
"Параметризованный тест. Проверяем, что созданный заказ отображается в ""Ленте заказов"" и в разделе ""В работе""","5788","Проверка отображения заказа в ""Ленте заказов"" и в разделе ""В работе""","tests","2026-04-17","passed","2026-04-17","TestOrderListPage","test_order_list_page","",""
"Проверяем увеличения счетчика Выполнено за все время и за сегодня при создании нового заказа","7079","Проверка увеличения счетчика при создании нового заказа","tests","2026-04-17","passed","2026-04-17","TestOrderListPage","test_order_list_page","",""
"Проверяем успешное создание заказа для авторизованного пользователя","5538","Проверка создания заказа авторизованным пользователем","tests","2026-04-17","passed","2026-04-17","TestConstructorPage","test_constructor_page","",""
"Проверяем успешное закрытие поп-апа с деталями ингредиента по клику на крестик","643","Проверка закрытия поп-апа с деталями ингредиента по клику на крестик","tests","2026-04-17","passed","2026-04-17","TestConstructorPage","test_constructor_page","",""
"Проверяем наличие поп-апа с деталями ингредиента, открывающегося по клику на ингредиент","37","Проверка открытия поп-апа с деталями ингредиента по клику на ингредиент","tests","2026-04-17","passed","2026-04-17","TestConstructorPage","test_constructor_page","",""
"Параметризованный тест. Проверяем, что после перетаскивания булки счетчик = 2, ингредиента = 1","1220","Проверка увеличения каунтера ингредиента при добавлении ингредиента в конструктор","tests","2026-04-17","passed","2026-04-17","TestConstructorPage","test_constructor_page","",""
"Параметризованный тест. Проверяем, что созданный заказ отображается в ""Ленте заказов"" и в разделе ""В работе""","12063","Проверка отображения заказа в ""Ленте заказов"" и в разделе ""В работе""","tests","2026-04-17","passed","2026-04-17","TestOrderListPage","test_order_list_page","",""
"Параметризованный тест. Проверяем, что созданный заказ отображается в ""Ленте заказов"" и в разделе ""В работе""","6056","Проверка отображения заказа в ""Ленте заказов"" и в разделе ""В работе""","tests","2026-04-17","passed","2026-04-17","TestOrderListPage","test_order_list_page","",""
"Параметризованный тест. Проверяем, что после перетаскивания булки счетчик = 2, ингредиента = 1","1510","Проверка увеличения каунтера ингредиента при добавлении ингредиента в конструктор","tests","2026-04-17","passed","2026-04-17","TestConstructorPage","test_constructor_page","",""
"Проверяем увеличения счетчика Выполнено за все время и за сегодня при создании нового заказа","6580","Проверка увеличения счетчика при создании нового заказа","tests","2026-04-17","passed","2026-04-17","TestOrderListPage","test_order_list_page","",""
